user ID,이 기기를 처음 사용할 때 쉽게 사용할 수 있었다. ,이 기기의 인터페이스는 직관적이어서 사용하기 쉬웠다. ,이 기기의 각 기능은 명확하게 표시되어 있었다. ,이 기기의 기능이 운동 목표를 달성하는데 도움이 되었다. ,기능성 게임은 운동 동기를 높이는데 효과적이었다. ,이 기기의 다양한 기능들이 실제로 유용했다.,이 기기를 사용하는 동안 원하는 기능을 빠르게 수행할 수 있었다. ,기기의 반응 속도는 충분히 빠르고 정확했다. ,기기를 사용하면서 발생하는 오류를 쉽게 해결할 수 있었다.,이 기기를 사용하는 것이 전반적으로 만족스러웠다.,기능성 게임을 통한 운동이 재미있고 흥미로웠다. ,이 기기를 다른 사람들에게 추천할 의향이 있다. ,기기의 다양한 기능들이 일관성 있게 작동했다. ,인터페이스가 일관성이 있어 사용하기 편리했다.,이 기기를 사용하는 동안 지원이나 도움을 필요로 했을 때 쉽게 찾을 수 있었다. ,제공된 매뉴얼이나 도움말이 이해하기 쉬웠다. ,기기 사용 중 문제가 발생했을 때 제공된 지원이 효과적이었다. ,기기의 물리적 디자인이 편리하게 설계되어 있다. ,기기의 버튼 및 조작부가 사용하기 편리한 위치에 있다. ,기기의 크기와 무게가 적절하여 사용하기 편리했다. ,
1,2,6,3,4,6,2,1,1,1,3,7,4,6,6,4,6,4,6,6,6,
2,2,3,2,6,2,5,5,1,1,2,2,2,2,5,4,2,5,1,6,2,"반응속도가 너무 느리다 (Latency up), 지루하다"
3,3,4,3,5,5,5,3,2,3,3,3,3,3,3,5,4,5,2,4,3,
4,2,2,1,3,3,2,2,2,3,2,2,2,2,3,4,3,4,2,3,3,페달 돌리는 속도와 게임화면의 싱크가 맞지 않아 페달 돌리는데 불편했다. 
5,6,6,5,4,4,4,2,1,3,2,4,2,4,3,5,4,6,4,3,4,
6,6,6,6,3,3,4,6,2,4,5,5,4,4,6,6,5,5,5,6,6,페달을 밟으면 반응이 좀 느려서 마음대로 작동이 되지 않는 것처럼 느껴지는게 아쉬움. 페달을 밟음에 따라 반응이 바로 나타나면 게임을 하면서도 더 재미있게 할 수 잇을 것 같다는 생각이 듦
7,7,4,4,2,2,4,4,3,5,4,4,4,4,4,4,4,7,5,4,4,
8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,6,5,7,3,4,4,"(1) 패달 조작부 개선 -> 발등 압박 통증 유발, (2) 패달 착용감 개선 -> 헐렁거림, 안정감 있게 발 전체를 고정시키지 못함 "
9,7,7,6,6,6,6,3,2,4,6,7,7,6,7,7,7,7,6,7,7,
10,5,5,5,4,3,4,4,1,4,5,6,6,3,4,4,5,6,6,6,6,
11,5,5,4,3,3,3,4,4,4,5,5,4,3,4,5,5,5,5,5,4,
12,2,3,3,2,1,2,2,1,1,2,2,2,1,4,2,2,2,1,3,3,"(1) 기기: 전반적으로 사용하기 불편합니다. 크랭크는 뻑뻑하여 힘을 많이 주어야 사용할 수 있고, 기기를 누워서 사용하면 모니터가 보이지 않습니다. 모니터를 보기 위해 상체를 세우면, 허리에 부담이 갑니다. (2) 게임 콘텐츠: 조금만 더 다듬으면, 흥미유발+ 운동을 지속시키는 동기가 될 수 있을 것입니다. 게임의 반응 속도가 너무 느립니다. "
13,3,4,4,4,5,5,4,3,4,4,6,5,5,4,5,5,7,4,7,4,기기의 크랭크가 너무 뻑뻑하여 사용하기 힘듭니다. 게임은 반응 속도만 빨라지면 재밌을 것 같습니다. 오류로 게임이 중단/강제 종료되어 끝가지 할 수 없어 아쉽습니다. 
14,7,7,4,4,4,4,4,1,2,4,4,4,4,4,4,7,4,4,4,4,"(1) 작동이 느림 (페달을 돌리는게 바로 적용이 안됨), (2) 페달이 윤활치 않음"
15,6,6,5,3,6,4,3,1,2,5,4,5,6,6,4,4,5,6,7,3,"미니 게임이 있어 운동할 때 더 흥미로웠다. 다만, 기계의 반응속도가 느려 원하는대로 컨트롤이 되지 않아 원활하게 진행되지 않았던 것 같다. 의자와 페달을 사용자에 따라 다르게 설정할 수 있어 좋았다. 페달에 저항이 더 있으면 천천히 돌리기도 쉽고 근력 운동에 더 도움이 될 수 있을 것 같다. (현재는 페달에 저항이 부족하여 빠르게 돌리기 쉽고, 많은 힘이 들어가지 않는다.)"
16,5,5,4,3,3,5,1,1,4,5,5,3,3,3,5,5,5,3,5,5,