user ID,소프트웨어를 처음 사용할 때 쉽게 사용할 수 있었다. ,소프트웨어의 인터페이스는 직관적이어서 사용하기 쉬웠다. ,소프트웨어의 각 기능은 명확하게 표시되어 있었다.  ,소프트웨어의 다양한 기능들은 실제로 유용했다. ,소프트웨어의 다양한 기능들은 일관성 있게 작동하였다. ,소프트웨어의 잘못된 기능설명으로 인한 문제는 없었다. ,소프트웨어 화면안에 표시된 항목의 구성이 알아보기 쉬웠다. ,소프트웨어의 중요한 항목들이 눈에 잘 보이게 배열되었다. ,소프트웨어 사용 시 불필요하게 반복해야 하는 작업은 없었다. ,소프트웨어의 반응속도는 충분히 빨랐다. ,소프트웨어의 조작의 반응도는 충분히 정교하였다. ,소프트웨어의 조작은 전반적으로 일관되어 신뢰감이 갔다. ,소프트웨어의 조작에 실수를 유도하던 화면이 없었다. ,소프트웨어를 사용 중 발생하는 오류는 쉽게 수정 가능하였다. ,소프트웨어를 사용하는 동안 지원이나 도움을 필요로 했을 때 쉽게 찾을 수 있었다. ,제공된 메뉴얼이나 도움말이 이해하기 쉬웠다. ,소프트웨어는 나의 하지 근력 균형의 향상에 도움이 된 것 같다. ,소프트웨어는 운동 동기를 높이는데 효과적이었다. ,소프트웨어는 재미있었다. ,소프트웨어를 사용하는 것이 전반적으로 만족스러웠다. ,소프트웨어를 향후 계속할 사용할 의향이 있다. ,소프트웨어를 다른 사람들에게 추천할 의향이 있다. ,,
1,6,7,7,6,7,6,7,7,6,1,2,1,2,2,5,5,6,6,6,6,6,6,,
2,5,5,3,3,2,5,5,5,2,1,1,1,5,5,5,4,3,3,2,1,1,1,,
3,4,4,4,3,2,4,4,4,4,1,1,1,1,1,3,3,2,2,1,1,1,1,,
4,4,3,2,3,2,2,2,2,3,1,2,3,1,2,4,4,4,3,3,2,4,3,,
5,4,5,5,4,3,5,5,5,5,2,2,2,4,4,4,5,4,4,3,3,2,2,,
6,6,6,6,5,2,6,6,6,6,1,3,4,6,5,5,5,4,4,6,5,5,5,,
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
8,4,4,4,5,3,4,4,4,3,1,1,1,4,1,4,4,6,6,6,6,6,5,,
9,6,7,7,6,6,7,7,7,7,2,2,5,6,5,7,6,4,5,6,6,5,6,,
10,6,6,6,6,6,6,6,6,6,3,3,6,6,6,6,6,6,6,6,7,7,7,,
11,4,4,3,4,4,4,3,4,4,2,2,3,4,4,4,4,3,4,4,4,3,4,,
12,5,5,5,3,1,2,4,4,3,1,1,1,4,2,2,4,4,4,4,3,3,3,,
13,4,4,4,4,4,4,5,4,4,3,3,4,4,3,5,4,5,5,5,5,5,5,,
14,7,4,4,4,4,6,6,6,4,1,1,4,7,4,4,4,4,4,7,4,4,4,,
15,6,6,4,3,6,6,6,6,7,2,1,3,6,5,5,4,6,4,2,4,5,5,,
16,5,5,5,5,3,6,6,6,5,1,1,5,5,2,5,6,3,5,3,4,3,6,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,