user ID,이 시스템을 자주 사용할 것 같다 ,이 시스템이 불필요하게 복잡하다고 생각한다. ,이 시스템이 쉽게 사용할 수 있다고 생각한다.,이 시스템을 사용하기 위해 지원이 필요하다고 생각한다. ,이 시스템의 다양한 기능이 잘 통합되어 있다고 생각한다. ,이 시스템이 일관성이 없다고 생각한다. ,대부분의 사람들이 이 시스템을 쉽게 배울 수 있다고 생각한다. ,이 시스템이 너무 복잡하다고 생각한다. ,이 시스템을 사용하는 것이 자신감 있게 느껴진다. ,이 시스템을 배우기 위해 많은 노력이 필요하다고 생각한다. 
1,6,2,5,3,4,2,6,2,6,2
2,2,3,6,5,3,5,5,3,3,3
3,2,2,2,6,2,6,5,2,3,3
4,4,2,3,3,3,4,4,3,3,4
5,2,2,6,4,4,3,6,3,4,4
6,3,1,7,3,4,4,6,1,2,2
7,4,4,4,4,4,4,4,4,4,4
8,6,3,6,4,6,3,6,3,6,3
9,6,1,7,4,6,1,7,1,7,2
10,5,1,5,2,5,2,6,1,5,2
11,4,4,5,4,4,3,4,3,3,3
12,2,2,4,4,3,4,4,2,3,2
13,4,4,3,5,4,4,5,4,4,4
14,4,1,7,4,4,3,7,2,4,1
15,4,1,6,2,4,2,6,1,7,3
16,3,2,6,5,6,1,5,1,5,3